"month","year","monthly_mean"
1,2001,2.01326693548387
2,2001,1.77403526785714
3,2001,1.72819032258065
4,2001,1.46690625
5,2001,1.11425322580645
6,2001,1.17469166666667
7,2001,1.09945403225806
8,2001,1.17355766129032
9,2001,1.52693625
10,2001,1.93118870967742
11,2001,2.26603875
12,2001,2.17663991935484
1,2002,2.30921209677419
2,2002,2.26994866071429
3,2002,2.18865322580645
4,2002,1.88468041666667
5,2002,1.49070241935484
6,2002,1.26378166666667
7,2002,1.11155564516129
8,2002,1.14118588709677
9,2002,1.51208125
10,2002,1.86589677419355
11,2002,2.33510666666667
12,2002,2.30454677419355
1,2003,2.24629274193548
2,2003,2.33229910714286
3,2003,1.80007782258065
4,2003,1.44312791666667
5,2003,1.22981491935484
6,2003,1.06238125
7,2003,1.00300241935484
8,2003,0.921952419354839
9,2003,0.94933
10,2003,1.47435322580645
11,2003,2.02565833333333
12,2003,1.97532741935484
1,2004,1.5543560483871
2,2004,1.5770849137931
3,2004,1.40635846774194
4,2004,1.09218625
5,2004,0.989625806451613
6,2004,0.757664166666667
7,2004,0.820418548387097
8,2004,0.857707258064516
9,2004,1.11544208333333
10,2004,1.36493911290323
11,2004,1.55782416666667
12,2004,1.67359758064516
1,2005,1.46016330645161
2,2005,1.34201785714286
3,2005,1.23790927419355
4,2005,1.132025
5,2005,1.05936491935484
6,2005,0.981840416666667
7,2005,0.981699193548387
8,2005,0.968112096774194
9,2005,1.10770416666667
10,2005,1.39288225806452
11,2005,1.58930958333333
12,2005,1.58974879032258
1,2006,1.41125322580645
2,2006,1.35285
3,2006,1.34308387096774
4,2006,1.19001666666667
5,2006,1.04070483870968
6,2006,0.957770833333333
7,2006,0.911617741935484
8,2006,0.887676612903226
9,2006,1.09179666666667
10,2006,1.38830322580645
11,2006,1.69846666666667
12,2006,1.76062258064516
1,2007,1.88486935483871
2,2007,1.90430223214286
3,2007,1.36903467741935
4,2007,1.44881541666667
5,2007,1.26421209677419
6,2007,1.0865775
7,2007,0.887478225806452
8,2007,0.856386693548387
9,2007,1.01413791666667
10,2007,1.38730161290323
11,2007,1.63211291666667
12,2007,1.68203911290323
1,2008,2.04986290322581
2,2008,2.03987931034483
3,2008,1.79713024193548
4,2008,1.40894208333333
5,2008,1.08161290322581
6,2008,0.986437916666667
7,2008,0.983229435483871
8,2008,1.01551048387097
9,2008,1.18905458333333
10,2008,1.42394798387097
11,2008,1.65945625
12,2008,1.66986008064516
1,2009,1.54228629032258
2,2009,1.720728125
3,2009,1.75578387096774
4,2009,1.30546458333333
5,2009,1.03866330645161
6,2009,0.89998875
7,2009,0.892358870967742
8,2009,0.888489112903226
9,2009,1.09339125
10,2009,1.24230161290323
11,2009,1.59950708333333
12,2009,1.9862689516129
1,2010,2.45651814516129
2,2010,2.36572544642857
3,2010,2.05373870967742
4,2010,1.66129916666667
5,2010,1.41811774193548
6,2010,1.21114
7,2010,1.28687580645161
8,2010,1.36261330645161
9,2010,1.32103791666667
10,2010,1.6623064516129
11,2010,1.80884583333333
12,2010,1.70125403225806
1,2011,2.00335443548387
2,2011,2.166825
3,2011,2.17882338709677
4,2011,1.77857958333333
5,2011,1.54648629032258
6,2011,1.30013333333333
7,2011,1.24764274193548
8,2011,1.15177459677419
9,2011,1.39578291666667
10,2011,1.66286935483871
11,2011,1.90766375
12,2011,1.59301088709677
1,2012,1.57228709677419
2,2012,1.84495431034483
3,2012,1.91372419354839
4,2012,1.52423416666667
5,2012,1.18009838709677
6,2012,1.09274625
7,2012,0.987522983870968
8,2012,0.834923387096774
9,2012,1.07307125
10,2012,1.44027056451613
11,2012,1.8549475
12,2012,2.03416693548387
1,2013,1.98201774193548
2,2013,2.16367276785714
3,2013,2.14456733870968
4,2013,1.57531083333333
5,2013,1.26042540322581
6,2013,1.14544708333333
7,2013,1.15514112903226
8,2013,1.24406290322581
9,2013,1.3704875
10,2013,1.64849032258065
11,2013,1.89531166666667
12,2013,2.11014032258065
1,2014,2.45961572580645
2,2014,2.70757723214286
3,2014,2.11846935483871
4,2014,1.57967666666667
5,2014,1.20278709677419
6,2014,1.25375083333333
7,2014,1.24105564516129
8,2014,1.23104112903226
9,2014,1.27954583333333
10,2014,1.76804838709677
11,2014,2.387795
12,2014,2.65219838709677
1,2015,2.39792217741936
2,2015,2.48534107142857
3,2015,2.37368266129032
4,2015,1.90218333333333
5,2015,1.272475
6,2015,1.079395
7,2015,1.09713225806452
8,2015,1.19878790322581
9,2015,1.50018666666667
10,2015,1.87818870967742
11,2015,2.20165708333333
12,2015,2.30276572580645
1,2016,2.8541689516129
2,2016,2.76235215517241
3,2016,2.5928060483871
4,2016,1.41153541666667
5,2016,1.29615322580645
6,2016,1.2333225
7,2016,1.16236693548387
8,2016,1.42027741935484
9,2016,1.60778958333333
10,2016,1.89181491935484
11,2016,2.19631083333333
12,2016,1.95794112903226
1,2017,2.54639919354839
2,2017,2.64438482142857
3,2017,2.57595080645161
4,2017,1.54701416666667
5,2017,1.2078125
6,2017,1.17451458333333
7,2017,1.15117903225806
8,2017,1.09024959677419
9,2017,1.37738125
10,2017,1.62647419354839
11,2017,1.72990166666667
12,2017,1.86440161290323
1,2018,1.84280161290323
2,2018,1.90718616071429
3,2018,1.82511370967742
4,2018,1.49181041666667
5,2018,1.34425443548387
6,2018,1.17619875
7,2018,1.14230241935484
8,2018,1.19520483870968
9,2018,1.32196083333333
10,2018,1.7490435483871
11,2018,2.05914708333333
12,2018,2.28346088709677
1,2019,2.93083790322581
2,2019,3.00631473214286
3,2019,2.22308951612903
4,2019,2.00106625
5,2019,1.32625120967742
6,2019,1.15483791666667
7,2019,1.12332580645161
8,2019,1.2401375
9,2019,1.28772041666667
10,2019,1.58201935483871
11,2019,1.94792583333333
12,2019,2.05979112903226
1,2020,2.00714072580645
2,2020,2.1496125
3,2020,1.87971088709677
4,2020,1.34948125
5,2020,1.01137419354839
6,2020,1.08454375
7,2020,0.961145564516129
8,2020,0.958537903225806
9,2020,1.08510041666667
10,2020,1.44832701612903
11,2020,1.701985
12,2020,1.77845483870968
1,2021,1.68155282258065
2,2021,1.68052723214286
3,2021,1.48147701612903
4,2021,1.09192541666667
5,2021,1.00164435483871
6,2021,0.901614166666667
7,2021,0.80415564516129
8,2021,0.76054314516129
9,2021,0.808394583333333
10,2021,1.1621435483871
11,2021,1.53068666666667
12,2021,1.66034032258065
1,2022,1.60610483870968
2,2022,1.75383348214286
3,2022,1.71482056451613
4,2022,1.37556583333333
5,2022,0.993503225806452
6,2022,0.815294166666667
7,2022,0.772416129032258
8,2022,0.862153225806452
