"month","year","monthly_mean"
1,2001,1.47131088709677
2,2001,1.31646473214286
3,2001,1.24096975806452
4,2001,1.28507625
5,2001,0.985865322580645
6,2001,0.826359166666667
7,2001,0.904916935483871
8,2001,1.00596209677419
9,2001,1.09093666666667
10,2001,1.60650967741936
11,2001,1.59039083333333
12,2001,1.71877177419355
1,2002,2.27351370967742
2,2002,2.10131651785714
3,2002,1.94501008064516
4,2002,1.72211
5,2002,1.27779637096774
6,2002,1.09637125
7,2002,0.967478225806452
8,2002,1.01814596774194
9,2002,1.23740916666667
10,2002,1.71003870967742
11,2002,2.05247875
12,2002,2.04716411290323
1,2003,2.10838387096774
2,2003,2.21125446428571
3,2003,1.74381088709677
4,2003,1.28809958333333
5,2003,1.09175766129032
6,2003,0.83245125
7,2003,0.984529838709677
8,2003,0.861002419354839
9,2003,1.02271083333333
10,2003,1.53101451612903
11,2003,1.88916
12,2003,1.79031129032258
1,2004,1.6432625
2,2004,1.62880215517241
3,2004,1.37336774193548
4,2004,1.06217333333333
5,2004,0.954929032258065
6,2004,0.75025
7,2004,0.784139516129032
8,2004,0.862366935483871
9,2004,1.12509291666667
10,2004,1.41246491935484
11,2004,1.71790333333333
12,2004,1.78903548387097
1,2005,1.39251330645161
2,2005,1.404996875
3,2005,1.25745080645161
4,2005,1.13364833333333
5,2005,1.03044556451613
6,2005,1.00140375
7,2005,0.989466129032258
8,2005,0.988092741935484
9,2005,1.14461
10,2005,1.52762580645161
11,2005,1.68814333333333
12,2005,1.60991935483871
1,2006,1.34589112903226
2,2006,1.24233035714286
3,2006,1.15625040322581
4,2006,1.02603875
5,2006,0.905022580645161
6,2006,0.825948333333333
7,2006,0.913316129032258
8,2006,0.922308064516129
9,2006,1.13532166666667
10,2006,1.32820161290323
11,2006,1.5469
12,2006,1.68400806451613
1,2007,2.11142016129032
2,2007,1.96362589285714
3,2007,1.66270483870968
4,2007,1.58087166666667
5,2007,1.32269798387097
6,2007,1.02984125
7,2007,0.843625
8,2007,0.761983870967742
9,2007,1.20926333333333
10,2007,1.57786129032258
11,2007,1.69519666666667
12,2007,1.57557096774194
1,2008,1.64528024193548
2,2008,1.58882284482759
3,2008,1.42287137096774
4,2008,1.14247958333333
5,2008,0.925556451612903
6,2008,0.910600833333333
7,2008,0.916025806451613
8,2008,1.06786532258065
9,2008,1.25528166666667
10,2008,1.64822258064516
11,2008,1.84576958333333
12,2008,1.78154879032258
1,2009,1.38336935483871
2,2009,1.37979107142857
3,2009,1.56764032258065
4,2009,1.200015
5,2009,0.869461693548387
6,2009,0.753962083333333
7,2009,0.717312096774194
8,2009,0.765864919354839
9,2009,1.07099125
10,2009,1.26829193548387
11,2009,1.60318708333333
12,2009,1.81179153225806
1,2010,2.03989193548387
2,2010,2.03569642857143
3,2010,1.74906330645161
4,2010,1.35675791666667
5,2010,1.15237903225806
6,2010,0.9752
7,2010,1.05664677419355
8,2010,1.20566774193548
9,2010,1.20425333333333
10,2010,1.48294193548387
11,2010,1.53471458333333
12,2010,1.40824879032258
1,2011,1.70491532258065
2,2011,1.81841160714286
3,2011,1.82355846774194
4,2011,1.62515791666667
5,2011,1.28238911290323
6,2011,1.03587958333333
7,2011,0.876940322580645
8,2011,0.93101814516129
9,2011,1.16619291666667
10,2011,1.48984838709677
11,2011,1.6426825
12,2011,1.40764274193548
1,2012,1.27847983870968
2,2012,1.57058620689655
3,2012,1.79757862903226
4,2012,1.39564458333333
5,2012,1.15826290322581
6,2012,0.91075875
7,2012,0.828500403225806
8,2012,0.792252419354839
9,2012,1.02309541666667
10,2012,1.41046411290323
11,2012,1.71719708333333
12,2012,1.8742689516129
1,2013,1.77770766129032
2,2013,1.72981696428571
3,2013,1.74034879032258
4,2013,1.2834625
5,2013,1.10691451612903
6,2013,0.980160833333333
7,2013,0.874474193548387
8,2013,0.953390322580645
9,2013,1.12946583333333
10,2013,1.47693709677419
11,2013,1.71692875
12,2013,1.55690766129032
1,2014,2.05183830645161
2,2014,2.17725580357143
3,2014,1.9082625
4,2014,1.37165708333333
5,2014,1.11549637096774
6,2014,1.04345375
7,2014,1.00929112903226
8,2014,1.01465443548387
9,2014,1.23409291666667
10,2014,1.69939516129032
11,2014,1.96732666666667
12,2014,1.95085483870968
1,2015,1.76440806451613
2,2015,1.87135714285714
3,2015,1.67530766129032
4,2015,1.32096541666667
5,2015,0.995237096774194
6,2015,0.912573333333333
7,2015,0.867125
8,2015,0.928270967741936
9,2015,1.16228416666667
10,2015,1.50379193548387
11,2015,1.83423833333333
12,2015,1.88634032258065
1,2016,2.73715080645161
2,2016,2.08070775862069
3,2016,1.85865846774194
4,2016,1.23933958333333
5,2016,1.15897258064516
6,2016,0.95704125
7,2016,0.891946370967742
8,2016,1.00861612903226
9,2016,1.26702333333333
10,2016,1.4875814516129
11,2016,1.88609416666667
12,2016,1.57163629032258
1,2017,2.06122016129032
2,2017,2.69548883928571
3,2017,2.74033870967742
4,2017,1.38754125
5,2017,1.05397258064516
6,2017,1.04249916666667
7,2017,0.889743548387097
8,2017,0.939897580645161
9,2017,1.12775333333333
