system:time_start,undefined
"Jan 1, 2001",15.409
"Jan 9, 2001",15.156
"Jan 17, 2001",17.453
"Jan 25, 2001",17.956
"Feb 2, 2001",18.726
"Feb 10, 2001",17.909
"Feb 18, 2001",14.015
"Feb 26, 2001",12.862
"Mar 6, 2001",13.168
"Mar 14, 2001",13.538
"Mar 22, 2001",13.026
"Mar 30, 2001",13.591
"Apr 7, 2001",13.059
"Apr 15, 2001",16.953
"Apr 23, 2001",11.176
"May 1, 2001",11.297
"May 9, 2001",9.576
"May 17, 2001",9.829
"May 25, 2001",10.174
"Jun 2, 2001",8.45
"Jun 10, 2001",9.218
"Jul 4, 2001",9.044
"Jul 12, 2001",8.732
"Jul 20, 2001",9.912
"Jul 28, 2001",11.397
"Aug 5, 2001",10.297
"Aug 13, 2001",8.956
"Aug 21, 2001",11.576
"Aug 29, 2001",12.721
"Sep 6, 2001",11.426
"Sep 14, 2001",11.482
"Sep 22, 2001",13.265
"Sep 30, 2001",13.388
"Oct 8, 2001",15.535
"Oct 16, 2001",15.803
"Oct 24, 2001",18.365
"Nov 1, 2001",18
"Nov 9, 2001",19.5
"Nov 17, 2001",17.324
"Nov 25, 2001",14.594
"Dec 3, 2001",17.091
"Dec 11, 2001",17.494
"Dec 19, 2001",21.906
"Dec 27, 2001",18.994
"Jan 1, 2002",22.532
"Jan 9, 2002",19.982
"Jan 25, 2002",24.224
"Feb 2, 2002",24.247
"Feb 10, 2002",23.135
"Feb 18, 2002",21.135
"Feb 26, 2002",20.609
"Mar 6, 2002",20.488
"Mar 14, 2002",22.491
"Mar 22, 2002",17.859
"Mar 30, 2002",21.635
"Apr 7, 2002",18.238
"Apr 15, 2002",17.129
"Apr 23, 2002",17.129
"May 1, 2002",15.379
"May 9, 2002",12.344
"May 17, 2002",15.694
"May 25, 2002",9.874
"Jun 2, 2002",10.606
"Jun 10, 2002",13.782
"Jun 18, 2002",10.776
"Jun 26, 2002",9.588
"Jul 4, 2002",10.044
"Jul 12, 2002",11.697
"Jul 20, 2002",9.274
"Jul 28, 2002",8.024
"Aug 5, 2002",8.703
"Aug 13, 2002",8.965
"Aug 21, 2002",11.909
"Aug 29, 2002",12.479
"Sep 6, 2002",10.997
"Sep 14, 2002",12.271
"Sep 22, 2002",13.091
"Sep 30, 2002",15.053
"Oct 8, 2002",16.703
"Oct 16, 2002",18.144
"Oct 24, 2002",16.524
"Nov 1, 2002",19.824
"Nov 9, 2002",19.571
"Nov 17, 2002",21.309
"Nov 25, 2002",23.609
"Dec 3, 2002",20.982
"Dec 11, 2002",21.612
"Dec 19, 2002",20.291
"Dec 27, 2002",17.912
"Jan 1, 2003",23.471
"Jan 9, 2003",23.341
"Jan 17, 2003",18.209
"Jan 25, 2003",20.568
"Feb 2, 2003",17.409
"Feb 10, 2003",21.785
"Feb 18, 2003",24.953
"Feb 26, 2003",21.297
"Mar 6, 2003",15.85
"Mar 14, 2003",19.306
"Mar 22, 2003",19.697
"Mar 30, 2003",15.097
"Apr 7, 2003",13.435
"Apr 15, 2003",14.962
"Apr 23, 2003",10.671
"May 1, 2003",13.176
"May 9, 2003",13.179
"May 17, 2003",9.129
"May 25, 2003",11.444
"Jun 2, 2003",8.738
"Jun 10, 2003",7.579
"Jun 18, 2003",8.55
"Jun 26, 2003",7.403
"Jul 4, 2003",11.206
"Jul 12, 2003",11.988
"Jul 20, 2003",8.315
"Jul 28, 2003",8.691
"Aug 5, 2003",9.356
"Aug 13, 2003",8.894
"Aug 21, 2003",8.124
"Aug 29, 2003",9.656
"Sep 6, 2003",11.497
"Sep 14, 2003",10.044
"Sep 22, 2003",9.188
"Sep 30, 2003",10.103
"Oct 8, 2003",14.156
"Oct 16, 2003",15.526
"Oct 24, 2003",18.926
"Nov 1, 2003",19.441
"Nov 9, 2003",18.853
"Nov 17, 2003",17.915
"Nov 25, 2003",21.129
"Dec 3, 2003",18.532
