"month","year","monthly_mean"
1,2001,1.84323024193548
1,2001,1.68246774193548
1,2001,2.01326693548387
1,2001,2.08318387096774
1,2001,1.47131088709677
1,2001,1.65663508064516
1,2001,1.67990887096774
1,2001,1.36451370967742
2,2001,1.821965625
2,2001,1.59029553571429
2,2001,1.77403526785714
2,2001,1.82251785714286
2,2001,1.31646473214286
2,2001,1.61899732142857
2,2001,1.57859464285714
2,2001,1.23967366071429
3,2001,1.60889879032258
3,2001,1.50779758064516
3,2001,1.72819032258065
3,2001,1.75316008064516
3,2001,1.24096975806452
3,2001,1.47108629032258
3,2001,1.32812338709677
3,2001,1.4432875
4,2001,1.37140375
4,2001,1.24015
4,2001,1.46690625
4,2001,1.46226791666667
4,2001,1.28507625
4,2001,1.28466541666667
4,2001,1.343625
4,2001,1.15722
5,2001,1.05998266129032
5,2001,0.931338306451613
5,2001,1.11425322580645
5,2001,1.11299435483871
5,2001,0.985865322580645
5,2001,0.955625
5,2001,0.994767741935484
5,2001,0.878852822580645
6,2001,0.928742916666667
6,2001,0.936387083333333
6,2001,1.17469166666667
6,2001,1.1053225
6,2001,0.826359166666667
6,2001,0.851446666666667
6,2001,0.903363333333333
6,2001,0.972037083333333
7,2001,0.923554838709677
7,2001,0.929398387096774
7,2001,1.09945403225806
7,2001,1.07602016129032
7,2001,0.904916935483871
7,2001,0.876354838709677
7,2001,0.973154838709677
7,2001,0.884508870967742
8,2001,0.971776612903226
8,2001,0.995058064516129
8,2001,1.17355766129032
8,2001,1.09117903225806
8,2001,1.00596209677419
8,2001,0.95911814516129
8,2001,1.08179475806452
8,2001,0.819763306451613
9,2001,1.16376583333333
9,2001,1.16170833333333
9,2001,1.52693625
9,2001,1.3264975
9,2001,1.09093666666667
9,2001,1.12229708333333
9,2001,1.23065708333333
9,2001,1.15832875
10,2001,1.61138064516129
10,2001,1.6288935483871
10,2001,1.93118870967742
10,2001,1.89551935483871
10,2001,1.60650967741936
10,2001,1.54702419354839
10,2001,1.63703870967742
10,2001,1.4489064516129
11,2001,1.92317166666667
11,2001,1.92621041666667
11,2001,2.26603875
11,2001,2.30317125
11,2001,1.59039083333333
11,2001,1.78461291666667
11,2001,1.72972291666667
11,2001,1.72715916666667
12,2001,1.96346290322581
12,2001,2.01352862903226
12,2001,2.17663991935484
12,2001,2.29043427419355
12,2001,1.71877177419355
12,2001,1.8745439516129
12,2001,1.91574233870968
12,2001,1.78042661290323
1,2002,1.78112983870968
1,2002,1.90889919354839
1,2002,2.30921209677419
1,2002,2.26346451612903
1,2002,2.27351370967742
1,2002,2.04681048387097
1,2002,2.23382701612903
1,2002,1.97541048387097
2,2002,1.89840803571429
2,2002,2.01735178571429
2,2002,2.26994866071429
2,2002,2.17254508928571
2,2002,2.10131651785714
2,2002,2.05412633928571
2,2002,2.21938839285714
2,2002,2.14255491071429
3,2002,1.76739475806452
3,2002,1.82835161290323
3,2002,2.18865322580645
3,2002,2.19981411290323
3,2002,1.94501008064516
3,2002,1.86509717741935
3,2002,2.05235725806452
3,2002,1.93569233870968
4,2002,1.51415041666667
4,2002,1.6196275
4,2002,1.88468041666667
4,2002,1.84016833333333
4,2002,1.72211
4,2002,1.6373675
4,2002,1.76102208333333
4,2002,1.68081583333333
5,2002,1.16374153225806
5,2002,1.21086814516129
5,2002,1.49070241935484
5,2002,1.47126290322581
5,2002,1.27779637096774
5,2002,1.205625
5,2002,1.28744516129032
5,2002,1.26159798387097
6,2002,0.945265416666667
6,2002,0.99493875
6,2002,1.26378166666667
6,2002,1.25744333333333
6,2002,1.09637125
6,2002,0.981154166666667
6,2002,1.12257833333333
6,2002,1.07061625
7,2002,0.699584677419355
7,2002,0.839320967741936
7,2002,1.11155564516129
7,2002,1.14286290322581
7,2002,0.967478225806452
7,2002,0.862589516129032
7,2002,0.97885564516129
7,2002,0.897708064516129
8,2002,0.827210080645161
8,2002,0.877558467741936
8,2002,1.14118588709677
8,2002,1.11312459677419
8,2002,1.01814596774194
8,2002,0.90556935483871
8,2002,1.03444032258065
8,2002,0.935447580645161
9,2002,1.10155375
9,2002,1.18366041666667
9,2002,1.51208125
9,2002,1.46705291666667
9,2002,1.23740916666667
9,2002,1.14880083333333
9,2002,1.25961583333333
9,2002,1.22898166666667
10,2002,1.47055967741935
10,2002,1.59042258064516
10,2002,1.86589677419355
10,2002,1.85425967741935
10,2002,1.71003870967742
10,2002,1.56244677419355
10,2002,1.71947580645161
10,2002,1.64424677419355
11,2002,1.78155208333333
11,2002,2.00541875
11,2002,2.33510666666667
11,2002,2.27016708333333
11,2002,2.05247875
11,2002,2.03200833333333
11,2002,2.11869291666667
11,2002,2.10348333333333
12,2002,1.72430927419355
12,2002,2.00564637096774
12,2002,2.30454677419355
12,2002,2.21641411290323
12,2002,2.04716411290323
12,2002,1.95324032258065
12,2002,2.05149072580645
12,2002,2.03929193548387
1,2003,1.66637741935484
1,2003,1.96659838709677
1,2003,2.24629274193548
1,2003,2.13736088709677
1,2003,2.10838387096774
1,2003,1.98092741935484
1,2003,2.08287459677419
1,2003,2.05423951612903
2,2003,1.68079642857143
2,2003,1.98460446428571
2,2003,2.33229910714286
2,2003,2.37067633928571
2,2003,2.21125446428571
2,2003,2.05225133928571
2,2003,2.16584375
2,2003,1.93764419642857
3,2003,1.53991290322581
3,2003,1.59866774193548
3,2003,1.80007782258065
3,2003,1.85236532258065
3,2003,1.74381088709677
3,2003,1.656675
3,2003,1.79238024193548
3,2003,1.5895060483871
4,2003,1.17214666666667
4,2003,1.25471083333333
4,2003,1.44312791666667
4,2003,1.47606666666667
4,2003,1.28809958333333
4,2003,1.25986291666667
4,2003,1.32203416666667
4,2003,1.21039166666667
5,2003,0.955210887096774
5,2003,0.941931451612903
5,2003,1.22981491935484
5,2003,1.15138508064516
5,2003,1.09175766129032
5,2003,1.02666209677419
5,2003,1.13166048387097
5,2003,1.00521532258065
6,2003,0.700185416666667
6,2003,0.722373333333333
6,2003,1.06238125
6,2003,1.02058708333333
6,2003,0.83245125
6,2003,0.742365
6,2003,0.817028333333333
6,2003,0.804205833333333
7,2003,0.629223387096774
7,2003,0.753721774193548
7,2003,1.00300241935484
7,2003,0.940852419354839
7,2003,0.984529838709677
7,2003,0.765145161290323
7,2003,0.997735483870968
7,2003,0.831852419354839
8,2003,0.659197580645161
8,2003,0.724596774193549
8,2003,0.921952419354839
8,2003,0.884390725806452
8,2003,0.861002419354839
8,2003,0.7524625
8,2003,0.897719758064516
8,2003,0.743638709677419
9,2003,0.8533
9,2003,0.81539
9,2003,0.94933
9,2003,0.912297083333333
9,2003,1.02271083333333
9,2003,0.848734583333333
9,2003,1.01696375
9,2003,0.903329166666667
10,2003,1.32946612903226
10,2003,1.33178709677419
10,2003,1.47435322580645
10,2003,1.4930435483871
10,2003,1.53101451612903
10,2003,1.40283870967742
10,2003,1.58796129032258
10,2003,1.39885483870968
11,2003,1.50074458333333
11,2003,1.64705166666667
11,2003,2.02565833333333
11,2003,2.10253333333333
11,2003,1.88916
11,2003,1.50017458333333
11,2003,1.92494875
11,2003,1.72778791666667
12,2003,1.35178588709677
12,2003,1.60810806451613
12,2003,1.97532741935484
12,2003,1.92386612903226
12,2003,1.79031129032258
12,2003,1.48614556451613
12,2003,1.83725766129032
12,2003,1.80203427419355
1,2004,1.39862741935484
1,2004,1.49649314516129
1,2004,1.5543560483871
1,2004,1.51060846774194
1,2004,1.6432625
1,2004,1.57952862903226
1,2004,1.64706370967742
1,2004,1.51946532258065
2,2004,1.32119482758621
2,2004,1.55313060344828
2,2004,1.5770849137931
2,2004,1.5996625
2,2004,1.62880215517241
2,2004,1.56302715517241
2,2004,1.62038793103448
2,2004,1.59711982758621
3,2004,1.28570806451613
3,2004,1.35072258064516
3,2004,1.40635846774194
3,2004,1.39245806451613
3,2004,1.37336774193548
3,2004,1.31953629032258
3,2004,1.40085887096774
3,2004,1.35558709677419
4,2004,1.01170833333333
4,2004,1.06298916666667
4,2004,1.09218625
4,2004,1.07151583333333
4,2004,1.06217333333333
4,2004,1.03869
4,2004,1.07302833333333
4,2004,1.03880333333333
5,2004,0.864198387096774
5,2004,0.955743548387097
5,2004,0.989625806451613
5,2004,0.96531935483871
5,2004,0.954929032258065
5,2004,0.974588709677419
5,2004,0.955391935483871
5,2004,0.971212903225806
6,2004,0.674083333333333
6,2004,0.742555416666667
6,2004,0.757664166666667
6,2004,0.746064583333333
6,2004,0.75025
6,2004,0.769791666666667
6,2004,0.738867083333333
6,2004,0.730444166666667
7,2004,0.689054838709678
7,2004,0.791759274193548
7,2004,0.820418548387097
7,2004,0.796547177419355
7,2004,0.784139516129032
7,2004,0.795804838709677
7,2004,0.782160887096774
7,2004,0.778259677419355
8,2004,0.758016129032258
8,2004,0.848387096774194
8,2004,0.857707258064516
8,2004,0.850079032258065
8,2004,0.862366935483871
8,2004,0.856318548387097
8,2004,0.864890322580645
8,2004,0.861334677419355
9,2004,1.02601375
9,2004,1.1445975
9,2004,1.11544208333333
9,2004,1.10859458333333
9,2004,1.12509291666667
9,2004,1.15512375
9,2004,1.13768708333333
9,2004,1.1658025
10,2004,1.26408024193548
10,2004,1.46379274193548
10,2004,1.36493911290323
10,2004,1.3778810483871
10,2004,1.41246491935484
10,2004,1.3815810483871
10,2004,1.39595927419355
10,2004,1.48132338709677
11,2004,1.63427083333333
11,2004,1.73611333333333
11,2004,1.55782416666667
11,2004,1.60071125
11,2004,1.71790333333333
11,2004,1.71766333333333
11,2004,1.69322333333333
11,2004,1.70697166666667
12,2004,1.58957983870968
12,2004,1.71378870967742
12,2004,1.67359758064516
12,2004,1.64304556451613
12,2004,1.78903548387097
12,2004,1.77214677419355
12,2004,1.76523387096774
12,2004,1.74831935483871
1,2005,1.32147459677419
1,2005,1.39364959677419
1,2005,1.46016330645161
1,2005,1.4087435483871
1,2005,1.39251330645161
1,2005,1.37975161290323
1,2005,1.42010080645161
1,2005,1.38265806451613
2,2005,1.50126696428571
2,2005,1.18944955357143
2,2005,1.34201785714286
2,2005,1.21444017857143
2,2005,1.404996875
2,2005,1.50107366071429
2,2005,1.48089508928571
2,2005,1.28573392857143
3,2005,1.11202338709677
3,2005,1.17006209677419
3,2005,1.23790927419355
3,2005,1.16273629032258
3,2005,1.25745080645161
3,2005,1.24262056451613
3,2005,1.31337258064516
3,2005,1.21126612903226
4,2005,1.04374958333333
4,2005,1.10318166666667
4,2005,1.132025
4,2005,1.05472333333333
4,2005,1.13364833333333
4,2005,1.08004333333333
4,2005,1.15918041666667
4,2005,1.09945833333333
5,2005,0.788538306451613
