system:time_start,undefined
"Jan 1, 2001",12.961
"Jan 9, 2001",13.497
"Jan 17, 2001",14.348
"Jan 25, 2001",16.713
"Feb 2, 2001",16.536
"Feb 10, 2001",14.37
"Feb 18, 2001",11.166
"Feb 26, 2001",11.254
"Mar 6, 2001",11.79
"Mar 14, 2001",13.138
"Mar 22, 2001",12.486
"Mar 30, 2001",12.497
"Apr 7, 2001",12.298
"Apr 15, 2001",16.094
"Apr 23, 2001",11
"May 1, 2001",11.177
"May 9, 2001",9.309
"May 17, 2001",10.188
"May 25, 2001",9.735
"Jun 2, 2001",8.641
"Jun 10, 2001",8.199
"Jul 4, 2001",8.127
"Jul 12, 2001",8.475
"Jul 20, 2001",9.26
"Jul 28, 2001",10.436
"Aug 5, 2001",9.641
"Aug 13, 2001",8.536
"Aug 21, 2001",10.773
"Aug 29, 2001",11.525
"Sep 6, 2001",10.249
"Sep 14, 2001",8.58
"Sep 22, 2001",12.414
"Sep 30, 2001",13.238
"Oct 8, 2001",15.414
"Oct 16, 2001",15.785
"Oct 24, 2001",17.713
"Nov 1, 2001",17.254
"Nov 9, 2001",18.597
"Nov 17, 2001",15.193
"Nov 25, 2001",13.099
"Dec 3, 2001",15.613
"Dec 11, 2001",16.166
"Dec 19, 2001",19.486
"Dec 27, 2001",15.735
"Jan 1, 2002",22.392
"Jan 9, 2002",20.155
"Jan 25, 2002",25.188
"Feb 2, 2002",24.022
"Feb 10, 2002",22.613
"Feb 18, 2002",19.215
"Feb 26, 2002",18.702
"Mar 6, 2002",18.475
"Mar 14, 2002",21.713
"Mar 22, 2002",17.011
"Mar 30, 2002",21.392
"Apr 7, 2002",17.928
"Apr 15, 2002",16.989
"Apr 23, 2002",16.392
"May 1, 2002",14.928
"May 9, 2002",12.475
"May 17, 2002",15.724
"May 25, 2002",9.608
"Jun 2, 2002",10.547
"Jun 10, 2002",13.475
"Jun 18, 2002",10.414
"Jun 26, 2002",9.392
"Jul 4, 2002",9.453
"Jul 12, 2002",12.569
"Jul 20, 2002",8.608
"Jul 28, 2002",7.939
"Aug 5, 2002",8.083
"Aug 13, 2002",9
"Aug 21, 2002",11.702
"Aug 29, 2002",12.63
"Sep 6, 2002",11
"Sep 14, 2002",12
"Sep 22, 2002",12.608
"Sep 30, 2002",14.845
"Oct 8, 2002",16.32
"Oct 16, 2002",17.928
"Oct 24, 2002",16.392
"Nov 1, 2002",20.867
"Nov 9, 2002",18.702
"Nov 17, 2002",19.536
"Nov 25, 2002",22.785
"Dec 3, 2002",22.508
"Dec 11, 2002",20.354
"Dec 19, 2002",20.215
"Dec 27, 2002",17.762
"Jan 1, 2003",24.105
"Jan 9, 2003",23.519
"Jan 17, 2003",18.486
"Jan 25, 2003",20.547
"Feb 2, 2003",18.011
"Feb 10, 2003",22.95
"Feb 18, 2003",25.392
"Feb 26, 2003",20.773
"Mar 6, 2003",15.475
"Mar 14, 2003",19.475
"Mar 22, 2003",18.238
"Mar 30, 2003",14.939
"Apr 7, 2003",13.072
"Apr 15, 2003",14.619
"Apr 23, 2003",10.155
"May 1, 2003",13.166
"May 9, 2003",12.392
"May 17, 2003",8.547
"May 25, 2003",11.464
"Jun 2, 2003",8.155
"Jun 10, 2003",7.691
"Jun 18, 2003",8.917
"Jun 26, 2003",7.939
"Jul 4, 2003",11.238
"Jul 12, 2003",11.63
"Jul 20, 2003",8.392
"Jul 28, 2003",8.392
"Aug 5, 2003",8.762
"Aug 13, 2003",8.331
"Aug 21, 2003",7.785
"Aug 29, 2003",9.702
"Sep 6, 2003",12.116
"Sep 14, 2003",9.928
"Sep 22, 2003",9.011
"Sep 30, 2003",9.939
"Oct 8, 2003",13.845
"Oct 16, 2003",14.989
"Oct 24, 2003",17.895
"Nov 1, 2003",18.856
"Nov 9, 2003",18.619
"Nov 17, 2003",17.475
"Nov 25, 2003",20.972
"Dec 3, 2003",17.724
"Dec 11, 2003",18.497
"Dec 19, 2003",15.519
"Dec 27, 2003",20.541
"Jan 1, 2004",16.464
"Jan 9, 2004",16.381
"Jan 17, 2004",15.381
"Jan 25, 2004",17.525
"Feb 2, 2004",16.464
"Feb 10, 2004",17.133
"Feb 18, 2004",16
"Feb 26, 2004",15.608
"Mar 5, 2004",15
"Mar 13, 2004",14
"Mar 21, 2004",13.464
"Mar 29, 2004",12
"Apr 6, 2004",11.392
"Apr 14, 2004",10.464
"Apr 22, 2004",10.072
"Apr 30, 2004",10
"May 8, 2004",10
"May 16, 2004",9.608
"May 24, 2004",9.083
"Jun 1, 2004",9
"Jun 9, 2004",7.608
"Jun 17, 2004",6.917
"Jun 25, 2004",7
"Jul 3, 2004",8
"Jul 11, 2004",8
"Jul 19, 2004",7.928
"Jul 27, 2004",7.453
"Aug 4, 2004",8
"Aug 12, 2004",8
"Aug 20, 2004",8.536
"Aug 28, 2004",10
"Sep 5, 2004",10.608
"Sep 13, 2004",11.083
"Sep 21, 2004",11.608
"Sep 29, 2004",12.083
"Oct 7, 2004",13.166
"Oct 15, 2004",14.011
"Oct 23, 2004",14.536
"Oct 31, 2004",16.464
"Nov 8, 2004",16.287
"Nov 16, 2004",17.834
"Nov 24, 2004",17.464
"Dec 2, 2004",18
"Dec 10, 2004",18.514
"Dec 18, 2004",17.978
"Dec 26, 2004",17.536
"Jan 1, 2005",16.392
"Jan 9, 2005",13.597
"Jan 17, 2005",13.989
"Jan 25, 2005",13.072
"Feb 2, 2005",13.061
"Feb 10, 2005",13.061
"Feb 18, 2005",15.039
"Feb 26, 2005",14.978
"Mar 6, 2005",13.392
"Mar 14, 2005",12.061
"Mar 22, 2005",12.155
"Mar 30, 2005",12
"Apr 7, 2005",11.072
