"month","year","monthly_sum"
12,2000,216.817
1,2001,803.620125
2,2001,683.67025
3,2001,587.481125
7,2001,255.985125
8,2001,319.2245
10,2001,753.536
11,2001,985.9475
12,2001,1013.12725
1,2002,819.26825
2,2002,838.752625
4,2002,506.67775
7,2002,253.7865
8,2002,300.98675
9,2002,445.42125
10,2002,721.5575
11,2002,1032.01925
1,2003,938.814375
6,2003,291.563125
10,2003,559.4395
11,2003,792.9475
2,2004,745.58025
3,2004,622.209625
4,2004,401.176625
5,2004,341.53275
6,2004,299.391
7,2004,247.303875
8,2004,340.314125
9,2004,477.574
1,2005,602.797375
2,2005,652.764625
5,2005,397.34375
9,2005,500.7625
10,2005,680.647875
11,2005,804.469
12,2005,706.786375
1,2006,627.195375
2,2006,491.553125
3,2006,486.4005
4,2006,305.249
7,2006,329.855875
8,2006,335.240875
9,2006,419.211875
10,2006,574.89325
11,2006,704.29725
12,2006,772.79325
1,2007,1033.3005
3,2007,633.7265
4,2007,591.6865
5,2007,365.243625
7,2007,253.090125
10,2007,881.37375
11,2007,1044.96125
12,2007,961.05925
1,2008,936.291875
2,2008,795.684625
4,2008,432.05825
5,2008,297.14
6,2008,290.904
7,2008,332.687
10,2008,773.756625
11,2008,1003.562625
12,2008,1050.135
1,2009,857.95725
3,2009,871.276125
4,2009,480.94
6,2009,264.2705
9,2009,498.013375
10,2009,740.22225
11,2009,1003.2085
12,2009,1246.156
1,2010,1479.72975
2,2010,1059.720375
3,2010,905.239875
4,2010,545.524
7,2010,263.749375
9,2010,556.98475
10,2010,754.12725
11,2010,873.729
12,2010,873.0465
1,2011,1018.06175
2,2011,996.46875
3,2011,972.1655
4,2011,611.968
5,2011,412.291375
8,2011,370.418625
9,2011,569.24225
10,2011,813.051125
11,2011,1100.4855
12,2011,893.28525
1,2012,781.1595
2,2012,978.5295
3,2012,989.709875
4,2012,571.016625
5,2012,412.4585
6,2012,311.75325
7,2012,315.327375
8,2012,432.430375
9,2012,548.582
10,2012,851.038875
11,2012,1076.715625
12,2012,1294.78875
2,2013,925.865875
3,2013,983.34475
4,2013,650.07475
5,2013,406.5125
6,2013,347.1955
7,2013,316.505
8,2013,401.34875
9,2013,530.5965
10,2013,880.27375
11,2013,1293.73625
1,2014,1287.426125
2,2014,1129.644875
3,2014,1064.373
4,2014,583.605
6,2014,311.019125
7,2014,372.206125
8,2014,473.312
10,2014,946.8725
11,2014,1344.59475
12,2014,1259.400125
1,2015,1402.3555
2,2015,1220.812125
3,2015,1046.621625
4,2015,725.11275
5,2015,415.8675
6,2015,290.603875
7,2015,377.245125
9,2015,628.849625
11,2015,1193.51775
12,2015,1033.09275
2,2016,1402.484875
7,2016,379.2515
9,2016,629.1355
10,2016,993.29825
11,2016,1305.521
12,2016,964.31725
1,2017,1505.522625
2,2017,1135.964125
3,2017,1246.242
4,2017,561.09925
5,2017,361.615
6,2017,353.5485
10,2017,890.6525
11,2017,1031.6635
12,2017,995.769
1,2018,1038.98
2,2018,916.113
3,2018,847.6885
5,2018,379.46325
6,2018,307.072375
7,2018,342.279875
8,2018,449.4475
9,2018,690.33175
10,2018,1017.58125
11,2018,1305.75625
12,2018,1092.9805
2,2019,1321.047375
3,2019,1044.232
4,2019,601.13
5,2019,372.385375
6,2019,310.195375
7,2019,343.59925
8,2019,426.393125
9,2019,588.321125
10,2019,948.26575
11,2019,1448.93775
12,2019,1396.780875
1,2020,1569.9725
2,2020,1307.9275
3,2020,989.1605
4,2020,548.659875
5,2020,397.006625
6,2020,318.6155
7,2020,354.75925
8,2020,403.58575
9,2020,528.45625
10,2020,884.112
11,2020,1033.092
12,2020,1153.33225
1,2021,1000.613125
2,2021,1047.63775
