"month","year","monthly_sum"
12,2000,217.641
1,2001,786.420875
2,2001,674.021375
3,2001,586.15225
7,2001,268.80025
8,2001,326.065875
10,2001,796.5615
11,2001,982.758
12,2001,1036.956
1,2002,791.0005
2,2002,834.1035
4,2002,527.41075
7,2002,257.438375
8,2002,311.10675
9,2002,463.04975
10,2002,732.071
11,2002,967.56825
1,2003,911.917
8,2003,336.9235
9,2003,431.7775
10,2003,601.9375
11,2003,864.085
12,2003,890.415125
2,2004,761.10575
3,2004,608.7645
4,2004,400.561875
5,2004,345.131625
6,2004,301.3245
8,2004,342.4495
9,2004,471.20225
1,2005,572.73525
2,2005,609.4
5,2005,400.18925
9,2005,514.39475
10,2005,690.023625
11,2005,839.52825
12,2005,725.523625
1,2006,654.83975
2,2006,540.024125
3,2006,537.186125
4,2006,351.79
7,2006,341.284125
8,2006,340.318375
9,2006,454.026125
10,2006,638.5135
11,2006,804.297
12,2006,852.604625
1,2007,1052.31675
3,2007,653.80325
4,2007,600.3305
5,2007,358.666375
6,2007,297.195375
7,2007,260.34725
9,2007,540.870125
10,2007,876.699875
11,2007,1006.93575
12,2007,962.14425
1,2008,936.42275
2,2008,806.79125
4,2008,473.5595
5,2008,301.72775
6,2008,293.80475
7,2008,341.3585
10,2008,853.281125
11,2008,1028.651625
12,2008,1034.55525
1,2009,894.09725
2,2009,835.11025
3,2009,862.32625
4,2009,462.87825
6,2009,265.34275
8,2009,352.924
9,2009,502.387875
10,2009,709.896625
11,2009,963.192
12,2009,1181.165875
1,2010,1372.507375
2,2010,1082.2615
3,2010,951.874125
4,2010,540.777
7,2010,263.226625
8,2010,428.207625
9,2010,577.7585
10,2010,790.262875
11,2010,881.95325
12,2010,885.01725
1,2011,1068.8145
2,2011,1037.028
3,2011,954.18
4,2011,620.2985
5,2011,406.143125
8,2011,373.075375
9,2011,558.32625
10,2011,834.105375
11,2011,1088.76825
1,2012,749.545625
2,2012,890.126375
3,2012,931.35575
4,2012,516.5215
5,2012,377.35775
6,2012,293.601
7,2012,298.051625
8,2012,422.042875
9,2012,523.27
10,2012,856.48825
11,2012,1028.144375
12,2012,1219.184375
2,2013,992.378125
3,2013,876.849
4,2013,592.5395
5,2013,386.637125
6,2013,339.845625
7,2013,314.63825
8,2013,384.087125
9,2013,498.61575
10,2013,829.251125
11,2013,1183.2935
1,2014,1308.99675
2,2014,1135.002125
3,2014,955.837875
4,2014,542.47925
6,2014,301.059125
7,2014,348.277125
8,2014,450.75075
10,2014,917.43725
11,2014,1251.644
12,2014,1287.852375
1,2015,1360.016125
2,2015,1081.7975
3,2015,987.233875
4,2015,618.3115
5,2015,346.49525
6,2015,279.246
9,2015,610.57475
10,2015,814.338125
11,2015,1132.1255
12,2015,1094.08075
1,2016,1390.329625
2,2016,1131.594375
7,2016,365.1765
9,2016,624.92025
10,2016,929.623375
11,2016,1193.926375
12,2016,986.0785
1,2017,1547.859125
2,2017,1115.914
3,2017,1117.915875
4,2017,531.509
5,2017,355.908125
6,2017,345.632375
10,2017,895.221
11,2017,1023.1865
12,2017,924.83275
1,2018,1043.182375
2,2018,842.5855
3,2018,841.693125
5,2018,376.4515
6,2018,304.440625
7,2018,338.117375
8,2018,439.40575
9,2018,663.11975
10,2018,961.302
11,2018,1168.0645
12,2018,1114.189625
2,2019,1265.14875
3,2019,947.440375
4,2019,572.96175
5,2019,374.9065
6,2019,303.694
7,2019,336.8935
8,2019,417.17475
9,2019,560.372
10,2019,921.35225
11,2019,1290.2605
12,2019,1245.345
1,2020,1446.891
2,2020,1098.679
3,2020,946.000375
4,2020,496.777375
5,2020,367.15125
6,2020,313.4135
7,2020,337.8875
8,2020,388.0345
9,2020,517.96725
10,2020,852.73875
11,2020,983.1235
12,2020,1084.35
1,2021,963.73025
2,2021,976.0515
