"month","year","monthly_sum"
12,2000,201.278
1,2001,759.782625
2,2001,654.65425
3,2001,561.649125
5,2001,349.383
7,2001,266.472125
8,2001,323.22575
10,2001,764.797
11,2001,1004.35775
12,2001,1058.903125
1,2002,741.00375
2,2002,819.62525
4,2002,518.4765
7,2002,252.962
8,2002,297.904125
9,2002,451.628625
10,2002,712.32425
11,2002,959.13
1,2003,914.15475
8,2003,333.244875
9,2003,427.02825
10,2003,604.525875
11,2003,811.2625
2,2004,753.140125
3,2004,606.4595
5,2004,343.901
6,2004,302.368
7,2004,245.38825
8,2004,339.22025
9,2004,472.4955
12,2004,825.390625
1,2005,625.243375
2,2005,512.42575
5,2005,399.061
9,2005,499.073875
10,2005,649.642
11,2005,786.99325
12,2005,695.975375
1,2006,596.971125
3,2006,548.524375
4,2006,350.87425
7,2006,336.123875
8,2006,332.92925
9,2006,419.227875
10,2006,611.475375
11,2006,755.56325
12,2006,848.739875
1,2007,1017.388125
3,2007,633.53775
4,2007,573.46475
5,2007,362.5345
6,2007,299.607375
7,2007,261.451625
10,2007,823.984
11,2007,1017.669
12,2007,1028.895375
1,2008,998.49075
2,2008,892.87625
4,2008,465.6305
5,2008,309.164
6,2008,294.808
7,2008,342.392
10,2008,712.520875
11,2008,958.75475
12,2008,1060.504625
1,2009,997.947875
2,2009,857.149125
3,2009,887.5875
4,2009,470.4265
6,2009,276.920625
8,2009,366.866375
9,2009,505.1395
10,2009,709.738125
11,2009,1011.397
12,2009,1207.619625
1,2010,1534.99
2,2010,1140.422125
3,2010,1001.436125
4,2010,593.79275
7,2010,277.106875
8,2010,433.38775
9,2010,577.445625
10,2010,799.472125
11,2010,958.22825
12,2010,956.79475
1,2011,1177.81275
2,2011,1146.802
3,2011,1065.37575
4,2011,637.6225
5,2011,424.62775
8,2011,393.453125
9,2011,612.184625
10,2011,892.16025
11,2011,1198.15175
12,2011,1098.37125
1,2012,868.786125
2,2012,983.808375
3,2012,1013.2165
4,2012,546.821625
5,2012,410.315375
6,2012,309.726
7,2012,317.299625
8,2012,436.322875
9,2012,541.1485
10,2012,895.603375
11,2012,1074.71125
12,2012,1289.410125
1,2013,1121.432375
2,2013,1121.35425
3,2013,983.816875
4,2013,605.1585
5,2013,402.76825
6,2013,357.639125
7,2013,325.019125
8,2013,412.022375
9,2013,549.970125
10,2013,894.675
11,2013,1310.33075
1,2014,1345.778625
2,2014,1305.747375
3,2014,1025.04175
4,2014,594.33425
6,2014,319.571125
7,2014,372.35375
8,2014,465.609
9,2014,567.58875
10,2014,946.23925
11,2014,1342.96525
12,2014,1521.6345
1,2015,1434.94075
2,2015,1260.88925
3,2015,1151.618
4,2015,752.193
5,2015,403.6365
6,2015,294.1695
7,2015,383.7565
8,2015,466.488
10,2015,847.80625
11,2015,1215.3245
12,2015,1196.3665
2,2016,1248.705875
7,2016,380.93275
9,2016,679.0835
10,2016,1001.6435
11,2016,1303.908375
1,2017,1707.064375
2,2017,1132.019625
3,2017,1247.03825
4,2017,548.61475
5,2017,361.118125
6,2017,355.640375
7,2017,377.7405
10,2017,892.255625
11,2017,1094.81375
12,2017,1109.528125
1,2018,1194.461875
2,2018,1049.39225
3,2018,949.866875
6,2018,309.179125
7,2018,347.3885
8,2018,447.793
9,2018,679.812625
10,2018,997.430875
11,2018,1276.98525
12,2018,1211.399625
2,2019,1487.716
3,2019,1025.982625
5,2019,373.795625
6,2019,319.666375
7,2019,347.257
8,2019,438.79525
9,2019,575.088375
10,2019,920.004375
11,2019,1355.78625
12,2019,1339.217
1,2020,1569.359625
2,2020,1272.717375
3,2020,1072.758875
4,2020,512.491125
5,2020,390.963
6,2020,317.313
7,2020,350.9165
8,2020,405.6795
9,2020,531.73925
10,2020,855.587625
11,2020,1075.4055
12,2020,1236.310125
2,2021,1006.6985
