"month","year","monthly_sum"
12,2000,206.403
1,2001,787.990875
2,2001,595.668625
3,2001,508.31925
5,2001,343.401
7,2001,257.069375
8,2001,302.752625
10,2001,739.007125
11,2001,976.5435
12,2001,1018.905375
1,2002,830.898625
2,2002,708.087125
4,2002,504.07525
7,2002,262.338
8,2002,303.00175
9,2002,440.09425
10,2002,686.596
11,2002,916.77075
1,2003,862.12375
8,2003,340.7085
9,2003,429.319375
10,2003,567.309625
11,2003,788.57825
2,2004,717.85825
3,2004,584.738375
5,2004,349.5735
7,2004,245.929125
8,2004,353.821375
9,2004,462.3725
10,2004,629.034
11,2004,787.2265
12,2004,782.2855
1,2005,496.654125
2,2005,484.085
5,2005,399.601875
9,2005,504.219
10,2005,634.20425
11,2005,792.98
12,2005,739.09175
1,2006,584.547875
3,2006,611.129125
4,2006,374.98125
7,2006,340.329875
8,2006,337.89
9,2006,424.035125
10,2006,748.284375
11,2006,832.9035
12,2006,891.100875
1,2007,959.604875
3,2007,608.84375
4,2007,571.82
5,2007,343.99525
7,2007,266.9765
10,2007,827.595
11,2007,1020.42975
12,2007,1077.41
1,2008,1005.31125
2,2008,1032.44275
4,2008,490.960125
5,2008,327.20525
10,2008,689.654
11,2008,935.64725
12,2008,1257.19825
1,2009,995.6955
2,2009,910.887375
3,2009,946.406125
4,2009,513.314
6,2009,279.116875
8,2009,370.17975
9,2009,511.729375
10,2009,722.476875
11,2009,1043.262
12,2009,1323.06175
1,2010,1648.846875
2,2010,1232.264375
4,2010,607.163
7,2010,297.026375
8,2010,466.03675
9,2010,609.785875
10,2010,838.244375
11,2010,1052.791
12,2010,1063.87525
1,2011,1363.4105
2,2011,1277.99175
3,2011,1160.0935
4,2011,623.62525
5,2011,440.781125
6,2011,304.260875
8,2011,414.479375
9,2011,625.64
10,2011,917.391625
11,2011,1260.66675
12,2011,1164.786
1,2012,921.709375
2,2012,1026.475125
3,2012,1062.7375
4,2012,580.318625
5,2012,401.781375
6,2012,315.423
7,2012,321.38375
8,2012,438.35525
10,2012,867.0485
11,2012,1041.002625
12,2012,1178.702625
1,2013,1227.276875
2,2013,1085.648375
3,2013,962.7205
4,2013,560.63225
6,2013,347.725
7,2013,327.366625
8,2013,410.3655
9,2013,531.731375
10,2013,872.735125
11,2013,1268.46
1,2014,1325.55675
2,2014,1405.545875
3,2014,976.270125
4,2014,573.37625
6,2014,319.467375
7,2014,377.72
8,2014,482.376
9,2014,578.159
10,2014,934.513
12,2014,1520.94775
2,2015,1408.98
3,2015,1280.582
4,2015,706.15425
8,2015,477.34725
11,2015,1277.023
12,2015,1315.145625
1,2016,1557.4705
2,2016,1466.1185
7,2016,386.1555
9,2016,696.73875
10,2016,1020.069
11,2016,1290.177875
1,2017,1628.6095
3,2017,1180.009125
5,2017,358.002
6,2017,358.307
7,2017,385.777
10,2017,902.93675
11,2017,1148.4315
12,2017,1257.456875
1,2018,1397.08325
2,2018,1164.733125
3,2018,974.382375
7,2018,354.775
8,2018,453.94175
9,2018,670.497
10,2018,1006.31725
11,2018,1283.592
12,2018,1377.121
2,2019,1473.169
3,2019,990.041375
6,2019,319.06525
8,2019,446.6695
9,2019,568.58925
10,2019,894.18025
11,2019,1245.2395
12,2019,1341.7275
1,2020,1162.597
2,2020,1085.6445
3,2020,885.35625
5,2020,375.009875
6,2020,315.5635
7,2020,342.14625
8,2020,382.13375
9,2020,494.06075
10,2020,790.15775
11,2020,910.92875
12,2020,1114.27375
1,2021,993.187375
2,2021,912.82075
