"month","year","monthly_sum"
12,2000,259.102
1,2001,904.61
2,2001,734.64675
3,2001,593.8295
7,2001,301.129
8,2001,362.68525
10,2001,896.145375
11,2001,1117.063
12,2001,1158.757
1,2002,949.817125
2,2002,856.16975
4,2002,536.23825
7,2002,281.7425
8,2002,333.495125
9,2002,513.878875
10,2002,799.357
11,2002,1051.015
1,2003,1063.843375
8,2003,366.90075
9,2003,445.09725
10,2003,649.4595
11,2003,890.0365
2,2004,754.620375
3,2004,620.39575
5,2004,349.928875
6,2004,302.1025
7,2004,255.80075
8,2004,363.83475
9,2004,456.848
12,2004,842.207875
1,2005,547.79375
2,2005,538.30425
5,2005,400.8985
9,2005,503.611
10,2005,646.581625
11,2005,806.2075
12,2005,788.015125
1,2006,640.7945
3,2006,641.203625
4,2006,403.924
7,2006,341.514
8,2006,342.190625
9,2006,438.7915
10,2006,714.200375
11,2006,876.99175
12,2006,937.644375
1,2007,994.622125
3,2007,635.20725
4,2007,579.91825
5,2007,355.20725
6,2007,304.05275
7,2007,271.333
10,2007,825.292625
11,2007,1049.57925
12,2007,1115.0825
1,2008,1076.181375
2,2008,1055.299625
4,2008,537.617125
5,2008,335.8045
6,2008,301.85575
7,2008,358.757125
10,2008,752.22625
11,2008,992.555875
12,2008,1225.848125
1,2009,1003.261875
2,2009,947.88925
3,2009,951.857375
4,2009,541.3445
6,2009,278.11975
7,2009,288.03325
8,2009,368.1925
9,2009,516.64125
10,2009,722.51625
11,2009,1039.8585
12,2009,1313.475875
1,2010,1601.40225
2,2010,1216.87775
3,2010,1038.84125
4,2010,602.26875
7,2010,297.576625
8,2010,452.641
9,2010,607.2225
10,2010,848.8605
11,2010,1079.87325
12,2010,1071.76575
1,2011,1441.704125
2,2011,1256.212875
3,2011,1142.2555
4,2011,645.3235
5,2011,441.158
6,2011,302.840625
8,2011,415.98425
9,2011,625.56325
10,2011,911.3515
11,2011,1291.04575
12,2011,1089.178875
1,2012,936.513125
2,2012,1013.269375
3,2012,1000.138
4,2012,523.08825
5,2012,402.09325
6,2012,313.0355
7,2012,315.950375
8,2012,430.417625
9,2012,533.878
10,2012,852.42525
11,2012,1073.694125
12,2012,1219.014375
1,2013,1268.083875
2,2013,1115.202125
3,2013,982.78075
4,2013,598.13825
6,2013,346.719
7,2013,336.362125
8,2013,425.2665
9,2013,546.758625
10,2013,864.925875
11,2013,1296.98
1,2014,1357.37875
2,2014,1150.27425
3,2014,984.861
4,2014,565.54
6,2014,318.276625
7,2014,374.684625
8,2014,484.20975
10,2014,947.8915
11,2014,1343.586
12,2014,1495.49325
1,2015,1414.731875
2,2015,1387.6925
3,2015,1247.122875
4,2015,686.13375
5,2015,408.005875
6,2015,298.572125
7,2015,390.7745
8,2015,478.93025
10,2015,844.98975
11,2015,1264.33825
12,2015,1241.263375
2,2016,1461.04675
7,2016,384.09375
9,2016,692.4405
10,2016,1008.88325
11,2016,1245.197125
1,2017,1598.050125
2,2017,1111.89125
3,2017,1112.893375
4,2017,542.56525
5,2017,357.98425
6,2017,355.612375
7,2017,380.450875
10,2017,875.450625
11,2017,1110.62925
12,2017,1183.54475
1,2018,1313.433625
2,2018,1150.110875
3,2018,969.71075
6,2018,309.249
7,2018,350.877625
8,2018,455.204
9,2018,668.71825
10,2018,1007.55875
11,2018,1255.238
12,2018,1397.45775
2,2019,1472.636875
3,2019,914.584625
5,2019,378.26625
6,2019,312.869
7,2019,347.86875
8,2019,444.222125
9,2019,554.540375
10,2019,884.6745
11,2019,1198.46525
12,2019,1192.616375
1,2020,1287.744125
2,2020,1184.849875
3,2020,974.8995
4,2020,495.16125
5,2020,375.02625
6,2020,316.52875
7,2020,349.26675
8,2020,392.328
9,2020,509.319
10,2020,823.01675
11,2020,960.023
12,2020,1230.32625
1,2021,1006.37275
2,2021,945.422125
