"month","year","monthly_sum"
12,2000,213.827
1,2001,821.007375
2,2001,722.524375
3,2001,626.3165
7,2001,251.204125
8,2001,311.897
10,2001,720.935875
11,2001,968.06425
12,2001,961.4255
1,2002,879.42625
2,2002,828.23425
4,2002,503.692
8,2002,298.8925
9,2002,440.273625
10,2002,720.757875
11,2002,1006.06475
1,2003,865.341125
7,2003,307.2555
8,2003,331.8935
9,2003,426.774875
10,2003,573.388125
11,2003,757.67325
2,2004,749.632625
3,2004,613.848125
4,2004,400.13875
5,2004,339.551125
6,2004,295.616
7,2004,246.076
8,2004,341.458
9,2004,475.87025
1,2005,583.536875
2,2005,772.411625
5,2005,396.475125
10,2005,686.537125
11,2005,817.765
12,2005,708.718875
1,2006,620.44575
2,2006,466.58825
3,2006,468.3655
4,2006,290.8985
7,2006,326.269
8,2006,333.69175
9,2006,406.591
10,2006,577.70275
11,2006,718.9225
12,2006,723.5295
1,2007,1021.106
3,2007,632.244
4,2007,601.90725
5,2007,357.115125
7,2007,249.183125
10,2007,906.54625
11,2007,1040.23225
12,2007,918.421125
1,2008,885.621625
2,2008,697.582875
4,2008,391.64575
5,2008,283.68725
10,2008,793.11575
11,2008,1042.6835
12,2008,1011.9885
1,2009,736.407875
3,2009,828.058875
6,2009,251.837
9,2009,485.573
10,2009,734.710875
11,2009,985.96675
2,2010,964.067375
3,2010,830.303875
4,2010,501.4175
7,2010,256.60425
9,2010,546.789375
10,2010,742.342875
11,2010,799.69175
12,2010,803.579625
1,2011,886.735625
2,2011,910.523
3,2011,879.418875
4,2011,577.0475
5,2011,403.783
6,2011,276.34525
9,2011,541.10025
10,2011,729.167875
11,2011,1041.86225
12,2011,715.55575
1,2012,674.48425
2,2012,970.25725
3,2012,907.332875
4,2012,534.77
5,2012,391.963625
6,2012,301.3095
7,2012,281.63675
8,2012,426.44275
9,2012,538.41325
10,2012,801.60025
11,2012,1059.492
12,2012,1239.4665
2,2013,850.169625
3,2013,922.006125
4,2013,637.105
5,2013,389.042625
6,2013,330.292
7,2013,303.695875
8,2013,383.593625
9,2013,493.51675
10,2013,859.051125
11,2013,1232.5145
1,2014,1118.235
2,2014,992.68375
3,2014,1091.0045
4,2014,569.07575
6,2014,299.946875
7,2014,363.4715
8,2014,444.501
9,2014,641.31575
10,2014,924.21825
11,2014,1376.857
12,2014,1207.772125
2,2015,1148.66
3,2015,1019.89825
4,2015,707.00775
5,2015,377.784
6,2015,279.115125
7,2015,367.753875
9,2015,619.08925
11,2015,1151.44175
12,2015,982.18625
2,2016,1470.175625
7,2016,379.73325
9,2016,580.845
10,2016,981.341125
11,2016,1234.979625
12,2016,911.63225
1,2017,1399.389125
2,2017,1133.270125
3,2017,1293.59225
4,2017,566.0335
5,2017,360.323125
6,2017,352.21825
10,2017,885.929875
11,2017,1010.05875
12,2017,947.619875
1,2018,909.364375
2,2018,800.623875
3,2018,778.24725
5,2018,376.907
6,2018,304.71075
7,2018,338.30925
8,2018,441.872125
9,2018,693.155625
10,2018,1023.72325
11,2018,1280.482
12,2018,1105.839875
2,2019,1207.951875
3,2019,1005.850375
4,2019,594.1125
5,2019,374.456125
6,2019,300.301
7,2019,350.520375
8,2019,414.587625
9,2019,592.388
10,2019,950.373875
11,2019,1447.54625
12,2019,1337.608
1,2020,1451.88075
2,2020,1322.96925
3,2020,893.701
4,2020,535.969875
5,2020,400.162125
6,2020,321.56125
7,2020,363.44225
8,2020,383.412
9,2020,520.78575
10,2020,889.677625
11,2020,989.135
12,2020,1103.877125
1,2021,968.560625
2,2021,1042.126
