system:time_start,undefined
"Jan 1, 2001",209.803
"Jan 9, 2001",225.891
"Jan 17, 2001",212.919
"Jan 25, 2001",206.051
"Feb 2, 2001",171.368
"Feb 10, 2001",199.167
"Feb 18, 2001",187.521
"Feb 26, 2001",190.842
"Mar 6, 2001",123.816
"Mar 14, 2001",166.726
"Mar 22, 2001",118.962
"Mar 30, 2001",139.479
"Apr 7, 2001",138.329
"Apr 15, 2001",140.513
"Apr 23, 2001",
"May 1, 2001",
"May 9, 2001",72.035
"May 17, 2001",93.37
"May 25, 2001",87.402
"Jun 2, 2001",
"Jun 10, 2001",96.821
"Jun 18, 2001",40.885
"Jul 4, 2001",75.936
"Jul 12, 2001",67.756
"Jul 20, 2001",58.859
"Jul 28, 2001",65.316
"Aug 5, 2001",71.252
"Aug 13, 2001",64.701
"Aug 21, 2001",75.479
"Aug 29, 2001",103.611
"Sep 6, 2001",100.615
"Sep 14, 2001",97.748
"Sep 22, 2001",112.821
"Sep 30, 2001",
"Oct 8, 2001",182.432
"Oct 16, 2001",191.12
"Oct 24, 2001",196.603
"Nov 1, 2001",172.577
"Nov 9, 2001",264.363
"Nov 17, 2001",251.064
"Nov 25, 2001",254.311
"Dec 3, 2001",256.47
"Dec 11, 2001",246.197
"Dec 19, 2001",245.97
"Dec 27, 2001",196.346
"Jan 1, 2002",318.141
"Jan 9, 2002",160.031
"Jan 17, 2002",211.893
"Jan 25, 2002",205.919
"Feb 2, 2002",230.795
"Feb 10, 2002",283.094
"Feb 18, 2002",216.393
"Feb 26, 2002",183.863
"Mar 6, 2002",194.983
"Mar 14, 2002",178.205
"Mar 22, 2002",
"Mar 30, 2002",188.902
"Apr 7, 2002",174.829
"Apr 15, 2002",146.291
"Apr 23, 2002",108.231
"May 1, 2002",101.034
"May 9, 2002",111.611
"May 17, 2002",88.949
"May 25, 2002",
"Jun 2, 2002",88.35
"Jun 10, 2002",63
"Jun 18, 2002",
"Jun 26, 2002",57.714
"Jul 4, 2002",67
"Jul 12, 2002",56.427
"Jul 20, 2002",69
"Jul 28, 2002",68.039
"Aug 5, 2002",66.846
"Aug 13, 2002",65.026
"Aug 21, 2002",83.355
"Aug 29, 2002",76.179
"Sep 6, 2002",88.004
"Sep 14, 2002",98.305
"Sep 22, 2002",122.228
"Sep 30, 2002",139.781
"Oct 8, 2002",180.526
"Oct 16, 2002",179.876
"Oct 24, 2002",146.479
"Nov 1, 2002",208.987
"Nov 9, 2002",246.248
"Nov 17, 2002",198.402
"Nov 25, 2002",327.596
"Dec 3, 2002",276.432
"Dec 11, 2002",179.942
"Dec 19, 2002",257.047
"Dec 27, 2002",
"Jan 1, 2003",307.872
"Jan 9, 2003",225.923
"Jan 17, 2003",276.419
"Jan 25, 2003",282.038
"Feb 2, 2003",148.594
"Feb 10, 2003",297.504
"Feb 18, 2003",224.444
"Feb 26, 2003",260.137
"Mar 6, 2003",
"Mar 14, 2003",183.679
"Mar 22, 2003",182.192
"Mar 30, 2003",170
"Apr 7, 2003",144.457
"Apr 15, 2003",127.504
"Apr 23, 2003",
"May 1, 2003",92.88
"May 9, 2003",94
"May 17, 2003",
"May 25, 2003",80.65
"Jun 2, 2003",71.09
"Jun 10, 2003",76.94
"Jun 18, 2003",72.415
"Jun 26, 2003",99.363
"Jul 4, 2003",
"Jul 12, 2003",74.482
"Jul 20, 2003",75
"Jul 28, 2003",96
"Aug 5, 2003",75
"Aug 13, 2003",70.963
"Aug 21, 2003",
"Aug 29, 2003",101.35
"Sep 6, 2003",
"Sep 14, 2003",93.782
"Sep 22, 2003",111.03
"Sep 30, 2003",149.038
"Oct 8, 2003",109.842
"Oct 16, 2003",147.023
"Oct 24, 2003",166.056
"Nov 1, 2003",162.735
"Nov 9, 2003",172.423
"Nov 17, 2003",187.372
"Nov 25, 2003",233.585
"Dec 3, 2003",233.705
"Dec 11, 2003",193
"Dec 19, 2003",
"Dec 27, 2003",166.449
"Jan 1, 2004",236.239
"Jan 9, 2004",237.261
"Jan 17, 2004",
"Jan 25, 2004",240.543
"Feb 2, 2004",194.726
"Feb 10, 2004",241.141
"Feb 18, 2004",189
"Feb 26, 2004",193.064
"Mar 5, 2004",172.521
"Mar 13, 2004",172.149
"Mar 21, 2004",174.88
"Mar 29, 2004",126.833
"Apr 6, 2004",139.855
"Apr 14, 2004",102
"Apr 22, 2004",96.816
"Apr 30, 2004",94
"May 8, 2004",116.222
"May 16, 2004",72.064
"May 24, 2004",85
"Jun 1, 2004",84.688
"Jun 9, 2004",67.325
"Jun 17, 2004",84.325
"Jun 25, 2004",103.544
"Jul 3, 2004",62.564
"Jul 11, 2004",55.035
"Jul 19, 2004",63.682
"Jul 27, 2004",72
"Aug 4, 2004",65.09
"Aug 12, 2004",73
"Aug 20, 2004",72.325
"Aug 28, 2004",113.325
"Sep 5, 2004",108.188
"Sep 13, 2004",113.555
"Sep 21, 2004",136.115
"Sep 29, 2004",124.526
"Oct 7, 2004",158.009
"Oct 15, 2004",161.774
"Oct 23, 2004",162.726
"Oct 31, 2004",206.919
"Nov 8, 2004",
"Nov 16, 2004",228
"Nov 24, 2004",270.521
"Dec 2, 2004",287.41
"Dec 10, 2004",277.782
"Dec 18, 2004",216.021
"Dec 26, 2004",128
"Jan 1, 2005",189.543
"Jan 9, 2005",189.991
"Jan 17, 2005",134.308
"Jan 25, 2005",129.269
"Feb 2, 2005",123.338
"Feb 10, 2005",145.915
"Feb 18, 2005",144.094
"Feb 26, 2005",145.735
"Mar 6, 2005",99.825
"Mar 14, 2005",146.451
"Mar 22, 2005",132.846
"Mar 30, 2005",142.816
"Apr 7, 2005",
"Apr 15, 2005",135.175
"Apr 23, 2005",100.307
"May 1, 2005",102.56
"May 9, 2005",107.56
"May 17, 2005",92.299
"May 25, 2005",98.701
"Jun 2, 2005",114.791
"Jun 10, 2005",
"Jun 18, 2005",79.882
"Jun 26, 2005",110.415
"Jul 4, 2005",75.829
"Jul 12, 2005",
"Jul 20, 2005",67.885
"Jul 28, 2005",
"Aug 5, 2005",80.081
"Aug 13, 2005",
"Aug 21, 2005",97.739
"Aug 29, 2005",104.192
"Sep 6, 2005",103.709
"Sep 14, 2005",136.56
"Sep 22, 2005",121.026
"Sep 30, 2005",153.688
"Oct 8, 2005",172.577
"Oct 16, 2005",176.026
"Oct 24, 2005",163.453
"Nov 1, 2005",169.047
"Nov 9, 2005",190.132
"Nov 17, 2005",226.632
"Nov 25, 2005",209.927
"Dec 3, 2005",186.679
"Dec 11, 2005",212.714
"Dec 19, 2005",198.624
"Dec 27, 2005",112.218
"Jan 1, 2006",158.209
"Jan 9, 2006",120.077
"Jan 17, 2006",151.184
"Jan 25, 2006",204.671
"Feb 2, 2006",158.479
"Feb 10, 2006",160.962
"Feb 18, 2006",134.046
"Feb 26, 2006",
"Mar 6, 2006",157.261
"Mar 14, 2006",118.102
"Mar 22, 2006",129.248
"Mar 30, 2006",129.59
"Apr 7, 2006",110.884
"Apr 15, 2006",82.085
"Apr 23, 2006",67.987
"May 1, 2006",82.645
"May 9, 2006",73.432
"May 17, 2006",61.725
"May 25, 2006",
"Jun 2, 2006",74.107
"Jun 10, 2006",77.372
"Jun 18, 2006",84.942
"Jun 26, 2006",
"Jul 4, 2006",85.047
"Jul 12, 2006",99.316
"Jul 20, 2006",89.342
"Jul 28, 2006",62
"Aug 5, 2006",97.158
"Aug 13, 2006",97.496
"Aug 21, 2006",67.701
"Aug 29, 2006",
"Sep 6, 2006",96.816
"Sep 14, 2006",102.735
"Sep 22, 2006",97.658
"Sep 30, 2006",127.415
"Oct 8, 2006",134.474
"Oct 16, 2006",127.285
"Oct 24, 2006",141.081
"Nov 1, 2006",174.936
"Nov 9, 2006",185.209
"Nov 17, 2006",194.461
"Nov 25, 2006",177.081
"Dec 3, 2006",192.808
"Dec 11, 2006",191.06
"Dec 19, 2006",195.632
"Dec 27, 2006",154.97
"Jan 1, 2007",264.256
"Jan 9, 2007",229.825
"Jan 17, 2007",282.239
"Jan 25, 2007",269.192
"Feb 2, 2007",258.303
"Feb 10, 2007",245.111
"Feb 18, 2007",280.765
"Feb 26, 2007",
"Mar 6, 2007",250.697
"Mar 14, 2007",162.104
"Mar 22, 2007",85
"Mar 30, 2007",182.15
"Apr 7, 2007",183.154
"Apr 15, 2007",169.175
"Apr 23, 2007",130.842
"May 1, 2007",131.962
"May 9, 2007",108.748
"May 17, 2007",91.957
"May 25, 2007",82.513
"Jun 2, 2007",81.983
"Jun 10, 2007",
"Jun 18, 2007",
"Jun 26, 2007",82
"Jul 4, 2007",74.325
"Jul 12, 2007",61.963
"Jul 20, 2007",63.299
"Jul 28, 2007",64.521
"Aug 5, 2007",80.585
"Aug 13, 2007",
"Aug 21, 2007",87.56
"Aug 29, 2007",
"Sep 6, 2007",
"Sep 14, 2007",122.427
"Sep 22, 2007",135.868
"Sep 30, 2007",150.333
"Oct 8, 2007",180.795
"Oct 16, 2007",192.889
"Oct 24, 2007",229.218
"Nov 1, 2007",274.457
"Nov 9, 2007",238.342
"Nov 17, 2007",307.833
"Nov 25, 2007",287.496
"Dec 3, 2007",291.88
"Dec 11, 2007",262.479
"Dec 19, 2007",259.996
"Dec 27, 2007",168.581
"Jan 1, 2008",317.248
"Jan 9, 2008",218.06
"Jan 17, 2008",312.419
"Jan 25, 2008",200.034
"Feb 2, 2008",299.923
"Feb 10, 2008",284.761
"Feb 18, 2008",301.739
"Feb 26, 2008",159.185
"Mar 5, 2008",279.75
"Mar 13, 2008",259.526
"Mar 21, 2008",188.808
"Mar 29, 2008",
"Apr 6, 2008",160.333
"Apr 14, 2008",127.584
"Apr 22, 2008",116.299
"Apr 30, 2008",93.094
"May 8, 2008",72.205
"May 16, 2008",104.154
"May 24, 2008",71.906
"Jun 1, 2008",67.949
"Jun 9, 2008",62.521
"Jun 17, 2008",78.731
"Jun 25, 2008",81.496
"Jul 3, 2008",92
"Jul 11, 2008",83.325
"Jul 19, 2008",89.679
"Jul 27, 2008",94.209
"Aug 4, 2008",73.244
"Aug 12, 2008",86.184
"Aug 20, 2008",96.816
"Aug 28, 2008",94.077
"Sep 5, 2008",
"Sep 13, 2008",92.235
"Sep 21, 2008",95.513
"Sep 29, 2008",120.038
"Oct 7, 2008",143.568
"Oct 15, 2008",165.021
"Oct 23, 2008",191.44
"Oct 31, 2008",183.585
"Nov 8, 2008",261.915
"Nov 16, 2008",253.637
"Nov 24, 2008",235.184
"Dec 2, 2008",234.585
"Dec 10, 2008",287.192
"Dec 18, 2008",258.256
"Dec 26, 2008",191.355
"Jan 1, 2009",355.906
"Jan 9, 2009",274.65
"Jan 17, 2009",234.726
"Jan 25, 2009",257.675
"Feb 2, 2009",243.927
"Feb 10, 2009",215.359
"Feb 18, 2009",255.996
"Feb 26, 2009",271.789
"Mar 6, 2009",230.974
"Mar 14, 2009",254.752
"Mar 22, 2009",280.739
"Mar 30, 2009",194.615
"Apr 7, 2009",183.128
