system:time_start,undefined
"Jan 1, 2001",217.641
"Jan 9, 2001",224.692
"Jan 17, 2001",217.795
"Jan 25, 2001",199.936
"Feb 2, 2001",164.569
"Feb 10, 2001",181.218
"Feb 18, 2001",202.436
"Feb 26, 2001",199.744
"Mar 6, 2001",186.806
"Mar 14, 2001",157.017
"Mar 22, 2001",120.179
"Mar 30, 2001",151.949
"Apr 7, 2001",161.014
"Apr 15, 2001",159.09
"Apr 23, 2001",
"May 1, 2001",
"May 9, 2001",
"May 17, 2001",97.281
"May 25, 2001",90.635
"Jun 2, 2001",
"Jun 10, 2001",97.09
"Jun 18, 2001",40.782
"Jul 4, 2001",78.25
"Jul 12, 2001",69.821
"Jul 20, 2001",62.34
"Jul 28, 2001",69.962
"Aug 5, 2001",74.667
"Aug 13, 2001",66.256
"Aug 21, 2001",78.256
"Aug 29, 2001",103.891
"Sep 6, 2001",107.545
"Sep 14, 2001",108.673
"Sep 22, 2001",130.59
"Sep 30, 2001",
"Oct 8, 2001",188.532
"Oct 16, 2001",222.833
"Oct 24, 2001",223.013
"Nov 1, 2001",185.75
"Nov 9, 2001",273.179
"Nov 17, 2001",260.763
"Nov 25, 2001",243.244
"Dec 3, 2001",274.096
"Dec 11, 2001",198.417
"Dec 19, 2001",276.115
"Dec 27, 2001",221.44
"Jan 1, 2002",355.5
"Jan 9, 2002",190.314
"Jan 17, 2002",210.981
"Jan 25, 2002",194.731
"Feb 2, 2002",222.828
"Feb 10, 2002",290.071
"Feb 18, 2002",230.795
"Feb 26, 2002",208.788
"Mar 6, 2002",204.256
"Mar 14, 2002",196.359
"Mar 22, 2002",
"Mar 30, 2002",196.154
"Apr 7, 2002",197.045
"Apr 15, 2002",156.897
"Apr 23, 2002",113.397
"May 1, 2002",109.333
"May 9, 2002",124.558
"May 17, 2002",91.282
"May 25, 2002",
"Jun 2, 2002",88.744
"Jun 10, 2002",64.833
"Jun 18, 2002",
"Jun 26, 2002",56.583
"Jul 4, 2002",68.189
"Jul 12, 2002",58.147
"Jul 20, 2002",71.256
"Jul 28, 2002",67.891
"Aug 5, 2002",69.147
"Aug 13, 2002",67.917
"Aug 21, 2002",89.256
"Aug 29, 2002",83.115
"Sep 6, 2002",96.654
"Sep 14, 2002",102.474
"Sep 22, 2002",128.186
"Sep 30, 2002",147.949
"Oct 8, 2002",192.256
"Oct 16, 2002",198.321
"Oct 24, 2002",145.673
"Nov 1, 2002",219.853
"Nov 9, 2002",265.308
"Nov 17, 2002",201.545
"Nov 25, 2002",293.956
"Dec 3, 2002",275.679
"Dec 11, 2002",193.054
"Dec 19, 2002",255.423
"Dec 27, 2002",
"Jan 1, 2003",318.308
"Jan 9, 2003",287.628
"Jan 17, 2003",244.577
"Jan 25, 2003",253.712
"Feb 2, 2003",144
"Feb 10, 2003",270.621
"Feb 18, 2003",216.167
"Feb 26, 2003",251.769
"Mar 6, 2003",
"Mar 14, 2003",176.865
"Mar 22, 2003",187.321
"Mar 30, 2003",163
"Apr 7, 2003",142.073
"Apr 15, 2003",116.526
"Apr 23, 2003",
"May 1, 2003",90.801
"May 9, 2003",92.359
"May 17, 2003",
"May 25, 2003",82.16
"Jun 2, 2003",71.237
"Jun 10, 2003",73.585
"Jun 18, 2003",70.622
"Jun 26, 2003",98.603
"Jul 4, 2003",
"Jul 12, 2003",74.365
"Jul 20, 2003",77.081
"Jul 28, 2003",96
